Source,Location ID,Latitude,Longitude,Elevation,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Direction,Wind Speed,
NSRDB,259016,34.77,-114.58,201,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,237.968721,22.5947,22.89532,89.714097,178.776887,2.81976252,las vagas
NSRDB,205165,33.37,-117.42,237,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,207.7982456,22.54363654,20.0508642,89.76510197,211.707261,1.733819716,califonia
NSRDB,132481,37.97,-121.86,177,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,222.682648,16.5416633,69.188054,89.7002554,238.445987,2.37086,san fransisco
NSRDB,183210,39.49,-118.7,1192,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,215.7456201,14.89233412,40.46743364,89.69342474,196.5636643,2.343453355,NEDAVA
NSRDB,307632,33.41,-112.18,311,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,235.5785667,23.4722534,35.08157647,89.72023456,185.9246235,2.213567233,ARIZONA
NSRDB,523853,21.45,-102.98,1727,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,239.9237361,18.09632425,71.86723627,89.79561267,186.2013423,2.187623326,NEW mexico
NSRDB,591666,31.37,-100.42,579,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,219.0534252,19.79348385,62.50243254,89.71230998,167.6942354,3.46343565,TEXAS 1
NSRDB,730573,30.05,-94.94,25,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,190.9847537,20.64526377,85.2757594,89.71324252,159.9838483,1.779374752,TEXAS 2
NSRDB,616917,27.57,-99.5,127,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,212.4564747,21.56234345,82.83534525,89.73452456,143.2453636,3.055343255,TEXAS 3
NSRDB,154808,42.21,-120.42,1456,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,196.4324528,9.497732748,59.07742349,89.68788735,187.33345,2.573435452,OREGON
NSRDB,176040,46.21,-119.14,101,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,197.3123242,14.55678282,56.87726524,89.76635242,214.9072646,2.544678293,WASHINGTON
NSRDB,348421,37.77,-110.34,1478,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,233.5899237,13.58975776,40.98976999,89.78976558,200.5436788,2.806577646,UTAH
