Latitude,Longitude,Elevation,Year,Month,Day,Hour,Minute,GHI (w/m2),Temperature(c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
34.81,-116.98,888,2015,1,1,0,30,27,,29.87337112,87.79124971,341.6756897,3.037959099
34.81,-116.98,888,2015,1,1,15,30,74,,31.79962921,84.70939055,325.630249,2.569333076
34.81,-116.98,888,2015,1,1,16,30,258,,25.91646004,74.97412733,326.3209229,2.353457928
34.81,-116.98,888,2015,1,1,17,30,423,,22.40142822,66.82850422,336.5165405,2.18565464
34.81,-116.98,888,2015,1,1,18,30,539,,20.18500137,60.93876173,341.7006836,1.997178316
34.81,-116.98,888,2015,1,1,19,30,594,,18.69989586,58.01150098,340.0013733,1.918037295
34.81,-116.98,888,2015,1,1,20,30,584,,18.19540215,58.49979681,341.4329224,1.768553615
34.81,-116.98,888,2015,1,1,21,30,510,,18.84095764,62.32245735,340.6593628,1.490831137
34.81,-116.98,888,2015,1,1,22,30,378,,21.7065506,68.91946728,338.9858093,1.217687249
34.81,-116.98,888,2015,1,1,23,30,205,,35.34061813,77.572941,328.9243469,0.885583639
34.81,-116.98,888,2015,1,2,0,30,29,,43.34516525,87.65540727,285.5807495,0.779286385
34.81,-116.98,888,2015,1,2,15,30,70,,36.45289993,84.73252618,1.647659302,1.487644911
34.81,-116.98,888,2015,1,2,16,30,250,,30.50074196,74.9786483,8.179176331,1.406962037
34.81,-116.98,888,2015,1,2,17,30,412,,23.50877762,66.80919599,15.36801147,1.549975872
34.81,-116.98,888,2015,1,2,18,30,527,,20.58312416,60.89092556,15.55231476,1.713011265
34.81,-116.98,888,2015,1,2,19,30,583,,19.80712509,57.9334671,12.14099121,1.76455307
34.81,-116.98,888,2015,1,2,20,30,574,,20.1124897,58.395185,11.1556778,1.765764594
34.81,-116.98,888,2015,1,2,21,30,501,,21.33666992,62.19907239,10.84896851,1.633792996
34.81,-116.98,888,2015,1,2,22,30,371,,28.68566895,68.78547682,9.70401001,1.321509957
34.81,-116.98,888,2015,1,2,23,30,201,,41.90687561,77.43429918,2.240379333,0.971388459
34.81,-116.98,888,2015,1,3,0,30,30,,47.01984406,87.5156814,338.7588501,0.850730538
34.81,-116.98,888,2015,1,3,15,30,68,,48.35893631,84.74980449,280.8840332,1.443703771
34.81,-116.98,888,2015,1,3,16,30,246,,40.89762497,74.97679232,275.4642334,1.197363377
34.81,-116.98,888,2015,1,3,17,30,407,,34.93110657,66.78297886,269.9744873,1.161209583
34.81,-116.98,888,2015,1,3,18,30,522,,30.21061325,60.83576469,282.5484009,1.308550835
34.81,-116.98,888,2015,1,3,19,30,578,,28.79794884,57.84798969,285.1406555,1.476958752
34.81,-116.98,888,2015,1,3,20,30,569,,28.67783356,58.28344731,284.3986206,1.470265388
34.81,-116.98,888,2015,1,3,21,30,497,,29.62068367,62.06927206,281.8197021,1.247611046
34.81,-116.98,888,2015,1,3,22,30,369,,36.63708115,68.6459724,271.3288269,1.004807472
34.81,-116.98,888,2015,1,3,23,30,200,,48.3907814,77.29103946,249.855484,0.978931665
34.81,-116.98,888,2015,1,4,0,30,31,,54.52577591,87.37211358,228.9723663,1.252501965
34.81,-116.98,888,2015,1,4,16,30,244,,51.22314072,74.96854197,78.93572235,1.137554169
34.81,-116.98,888,2015,1,4,15,30,67,,60.23831177,84.76120222,46.9643631,0.726433635
34.81,-116.98,888,2015,1,4,17,30,404,,39.6557045,66.74985019,106.6338425,1.529119253
34.81,-116.98,888,2015,1,4,18,30,519,,33.27382278,60.77329392,123.4566269,1.681774259
34.81,-116.98,888,2015,1,4,19,30,441,,29.56586838,57.75510283,132.5403748,1.641982555
34.81,-116.98,888,2015,1,4,21,30,246,,27.54060936,61.93312999,144.184021,1.329907417
34.81,-116.98,888,2015,1,4,20,30,453,,27.82591057,58.1646377,141.6726227,1.567897797
34.81,-116.98,888,2015,1,4,22,30,283,,32.26999283,68.50104424,141.6201782,1.027225018
34.81,-116.98,888,2015,1,4,23,30,201,,40.7171402,77.14326399,103.0849152,1.154517412
34.81,-116.98,888,2015,1,5,0,30,32,,46.17137146,87.2248212,67.77827454,1.596065521
34.81,-116.98,888,2015,1,5,15,30,66,,42.28942871,84.76669656,29.89931488,2.276511192
34.81,-116.98,888,2015,1,5,16,30,242,,35.94290161,74.9538826,42.77592468,2.053559065
