Name,Latitude,Longitude,GHI (w/m2),Temperature(c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
Abeytas,34.465202,-106.813755,26,,86.76678467,88.10841772,238.2660828,3.680437565
Abiquiu,36.201726,-106.323851,209,,71.52558899,77.73124063,239.9430084,3.78657341
Acomita Lake,35.065989,-107.61708,392,,57.15329742,68.72326295,241.1672363,3.911633492
Adelino,34.706614,-106.730464,532,,48.98278427,61.71422885,240.8778992,3.934113979
Agua Fria,35.66152,-106.015555,614,,47.04751587,57.4574348,240.8314514,3.91383481
Alamillo,34.251884,-106.915799,630,,48.0333252,56.58639475,240.7798309,3.774832726
Alamo,34.418412,-107.512486,579,,49.34167862,59.25225969,241.2944489,3.586468935
Alamogordo city,32.883406,-105.962697,465,,51.02209473,65.01689435,241.2238312,3.350000143
Albuquerque city,35.105503,-106.647448,300,,54.74579239,73.14144458,241.5761108,2.890583754
Alcalde,36.085393,-106.057516,108,,62.14132309,82.92001123,241.2588348,2.254127502
Algodones,35.380081,-106.472934,122,,65.74467468,61.67955932,87.21107483,2.312514782
Angel Fire village,36.382176,-105.271467,106,,63.58731842,57.39176553,92.08587646,1.953296185
Animas,31.944878,-108.806466,268,,62.98308945,56.49120265,96.34267426,1.568392754
Anthony,32.012997,-106.604759,136,,64.05344391,59.13453739,99.30436707,1.161213279
Anton Chico,35.194866,-105.143894,35,,66.23358917,64.88559527,80.82498932,0.851733685
Anzac Village,35.061265,-107.745515,16,,68.17195892,73.00376471,27.57146454,1.006795406
Apache Creek,33.84863,-108.614111,63,,69.66139984,82.78039692,354.9623413,1.496806502
Aragon,33.889865,-108.520154,57,,69.56508636,68.71610701,80.80216217,2.512623549
Arenas Valley,32.776486,-108.203075,8,,78.98882294,88.14025377,70.80236053,2.517261028
Arrey,32.847175,-107.320347,72,,74.2412262,77.74618442,72.85449219,2.493210793
Arroyo Hondo,36.534599,-105.666602,25,,58.74320221,88.16655228,307.4483032,5.878100395
Arroyo Seco,36.521516,-105.586089,389,,57.28499222,68.70230912,311.5302429,5.62660408
Artesia city,32.847864,-104.427741,528,,55.92826462,61.63773731,312.5684814,5.65615654
Atoka,32.778277,-104.39307,610,,57.41339874,57.31866456,313.5007019,5.624663353
Aztec city,36.818922,-107.982268,207,,58.46192169,77.75505624,309.8482666,5.699841499
Bayard city,32.758506,-108.133598,626,,60.41635132,56.38871928,315.0666809,5.507279396
Beclabito,36.833466,-109.00383,576,,62.7701149,59.01012553,317.1549683,5.26513958
Belen city,34.680365,-106.787569,303,,68.46852875,72.86123171,315.196991,4.606902122
Bent,33.147307,-105.859019,112,,73.07394409,82.63677944,314.6446838,4.489033699
Berino,32.068934,-106.621982,465,,64.9480896,64.74849693,316.7584839,4.90585804
Bernalillo town,35.312627,-106.553767,25,,68.8651886,88.18724875,344.8141479,2.171121597
Bibo,35.180735,-107.417906,211,,63.03663254,77.75781957,346.727478,1.413371205
Black Rock,35.083294,-108.797867,396,,55.95159531,68.68185338,347.348114,0.49306339
Blanco,36.721424,-107.832698,539,,49.93120575,61.58876686,134.6096649,0.405915648
Bloomfield city,36.726557,-107.979154,621,,47.03376007,57.23815511,179.0610657,0.893057346
Bluewater Acres,35.266723,-108.135179,638,,46.07000351,56.27898765,203.1443787,1.045113683
Bluewater Village,35.237956,-107.980903,587,,46.98146057,58.87908754,216.426178,1.134506226
Boles Acres,32.819141,-105.978337,473,,50.48880768,64.60568112,231.2794189,1.249975324
Bosque Farms village,34.853796,-106.70159,309,,58.8470459,72.71394204,238.1138611,1.408563733
Brazos,36.752762,-106.559873,116,,67.02690125,82.48927307,239.131546,1.556269169
Brimhall Nizhoni,35.778494,-108.632143,24,,48.15805817,88.20234781,359.3643799,0.894642949
Buckhorn,33.031478,-108.694389,208,,43.01219177,77.75445474,359.1452026,0.701109052
Ca_ada de los Alamos,35.592656,-105.859754,392,,39.35219193,68.65473375,350.3381042,0.479635179
Ca_on,35.67176,-106.752686,534,,36.66888809,61.53265946,300.4206848,0.841406763
Ca_ones,36.176856,-106.42442,618,,31.8131752,57.15026747,261.6776123,1.536839247
Caballo,32.980625,-107.307469,636,,30.44040871,56.16205747,266.3762817,1.88449955
Canjilon,36.483993,-106.433575,586,,30.21072388,58.7414941,274.7520752,1.98223722
Cannon AFB,34.388692,-103.318726,474,,36.48900223,64.45723798,278.803772,1.789689541
Canova,36.164822,-105.985667,311,,45.34928513,72.56200123,276.3591309,1.493324399
Capitan village,33.539148,-105.598608,118,,47.44786072,82.33799777,283.3140564,1.336372375
Capulin,36.744621,-103.995742,24,,51.41532898,88.21175737,358.7154846,2.710330725
Carlsbad city,32.406335,-104.23851,205,,47.24642181,77.74492134,4.674667358,2.355738163
Carnuel,35.060794,-106.458566,388,,43.2595253,68.62093583,12.09030914,1.957995296
Carrizozo town,33.643337,-105.841133,530,,40.73324966,61.46942293,22.46813202,1.698033333
