Name,Latitude,Longitude,GHI (w/m2),Temperature(c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
Abbott city,31.88725,-97.08026,14,,86.01560974,82.8405166,137.5598602,2.689867973
Abernathy city,33.832354,-101.845802,78,,83.17411041,72.53503101,142.9522095,2.465324402
Abilene city,32.454651,-99.738304,111,,79.94360352,63.79610239,152.945282,2.141256571
Abram,26.217982,-98.417883,187,,77.75453186,57.36232844,159.2906494,1.800382137
Ackerly city,32.525063,-101.715847,216,,76.49438477,54.07424331,167.2102051,1.414516687
Addison town,32.958681,-96.835645,204,,76.40627289,54.50917812,172.1433411,0.908022761
Adrian city,35.274119,-102.667247,180,,77.11164093,58.58374032,162.5740051,0.440226674
Agua Dulce,31.654855,-106.136902,114,,78.45517731,65.61827341,105.4585495,0.451346785
Agua Dulce city,27.78273,-97.90985,107,,81.32225037,74.77293058,53.38256073,1.102076292
Aguilares,27.451627,-99.093233,25,,84.76009369,85.35483569,54.81039429,1.868599534
Airport Heights,26.408735,-98.836695,2,,82.46668243,82.87233513,52.45834732,1.627177119
Airport Road Addition,27.218988,-98.098093,51,,78.32591248,72.5478231,57.60640717,1.728470445
Alamo city,26.179768,-98.11824,45,,73.60301971,63.78404284,62.83733368,1.846661448
Alamo Heights city,29.482765,-98.468103,116,,69.82957458,57.31965998,68.24549866,1.952941418
Alba town,32.79056,-95.634341,75,,68.96958923,53.99839459,75.52610016,2.040880203
Albany city,32.727272,-99.295663,122,,70.35477448,54.40411622,82.38069916,2.129095078
Aldine,29.912322,-95.378475,259,,72.24124908,58.45878811,86.10067749,2.256654024
Aledo city,32.697366,-97.606983,52,,75.63619232,65.48295326,88.14920044,2.389257908
Alfred,27.874145,-97.97984,125,,81.07444,74.63378089,93.8473053,2.423036098
Alice Acres,27.711893,-98.107973,30,,85.96897888,85.21547349,97.1820755,2.404045582
Alice city,27.75559,-98.065233,102,,58.16189575,82.89865053,257.7774048,6.721848488
Allen city,33.108704,-96.673537,297,,53.97944641,72.55451192,260.1807251,6.865797997
Alma town,32.28177,-96.551625,468,,50.60375977,63.76526085,263.6920166,7.070971966
Alpine city,30.364206,-103.664538,655,,45.42500687,53.91512685,271.9058838,7.186807156
Alto Bonito Heights,26.315777,-98.641329,652,,42.55546188,54.29196533,274.2254639,7.026143074
Alto town,31.650982,-95.070785,443,,41.36253738,65.34235422,280.8251038,6.088347435
Alton city,26.288846,-98.311383,591,,48.09402084,57.26975789,268.6251221,7.215297222
Alvarado city,32.406707,-97.214714,579,,40.55831146,58.3275461,277.0587158,6.682794571
Alvin city,29.378411,-95.289021,260,,46.33577728,74.49034057,286.1002808,5.507993698
Alvord town,33.356968,-97.696026,65,,53.13838577,85.07268116,290.3547974,5.225427151
Amada Acres,26.343265,-98.739252,100,,80.38363647,82.91936168,32.98138428,2.139875412
Amargosa,27.891635,-98.108638,124,,68.65578461,72.55504273,36.99759293,1.74519968
Amarillo city,35.200384,-101.828293,156,,59.87189484,63.73972956,38.13666153,1.352809906
Amaya,28.712069,-99.83528,245,,54.38240051,57.2126185,33.74323273,0.999165773
Ames city,30.045079,-94.737316,309,,51.0762558,53.82445648,26.82796097,0.789950252
Amherst city,34.011982,-102.414775,286,,49.34783173,54.17276108,18.14578247,0.707767963
Amistad,29.524493,-101.153049,341,,49.21139908,58.19006785,5.171554565,0.699874401
Anacua,26.385581,-98.919151,445,,51.23601532,65.19654074,355.6431885,0.694801211
Anahuac city,29.764929,-94.678677,264,,57.30441666,74.34267225,356.9891052,0.78206718
Anderson city,30.487102,-95.98997,68,,64.25921631,84.92647194,27.72424316,1.076710105
Andrews city,32.321103,-102.550108,70,,76.85464478,82.93450137,202.5601501,3.129116058
Angleton city,29.16883,-95.428795,302,,64.82011414,72.54942628,208.9990234,2.5727005
Angus city,31.997623,-96.426965,478,,54.51908112,63.70746976,211.3690186,2.387021542
Anna city,33.34777,-96.5525,604,,47.18161011,57.14827812,215.2684021,2.400753021
Annetta North town,32.720283,-97.676925,667,,42.07900238,53.72643779,219.5191498,2.456618786
